rank,image_path,image_file_name,selected,status,base_score,technical_score,technical_score_contributed,technical_koniq_score,technical_flive_image_score,technical_flive_patch_mean,technical_flive_patch_min,technical_models_used,aesthetic_score,aesthetic_score_contributed,aesthetic_models_used,aesthetic_backend,final_score_before_vila,final_score_after_rerank,final_score,diversity_penalty,vila_score_raw,vila_score_normalized_in_pool,technical_reason,aesthetic_reason,final_outcome_reason,acut_short_reason,acut_detailed_reason,acut_comparison_reason,multimodal_explanations_enabled,multimodal_explanations_attempted,multimodal_explanations_succeeded,multimodal_explanations_skip_reason,multimodal_explanation_model,explanation_source,explanation_status,explanation_confidence,explanation_tags,baseline_short_reason,baseline_detailed_reason,baseline_comparison_reason,multimodal_short_reason,multimodal_detailed_reason,multimodal_comparison_reason
1,test_samples/KakaoTalk_20260330_180646779_11.jpg,KakaoTalk_20260330_180646779_11.jpg,True,selected,0.622747,0.622747,True,48.21875,72.1875,72.5625,69.5625,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.622747,0.622747,0.622747,0.0,,,"Technical quality is solid at 0.623 (KoNIQ 48.219, FLIVE image 72.188, patch mean 72.562, patch min 69.562).",,Rank 1 is selected with final score 0.623 using aesthetic weight 0.600 and technical weight 0.400.,The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #1 with a final score of 0.623, staying 0.079 above the cut line. Technical quality was the selector's clearest lever here, and technical quality created most of the separation. The selector fell back to technical-only evidence (0.623). KakaoTalk_20260330_180646779_10.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779_10.jpg stayed closest in rank, yet technical quality kept this frame ahead.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.3067,"[""technical"",""technical quality"",""selector_reasoning""]",The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #1 with a final score of 0.623, staying 0.079 above the cut line. Technical quality was the selector's clearest lever here, and technical quality created most of the separation. The selector fell back to technical-only evidence (0.623). KakaoTalk_20260330_180646779_10.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779_10.jpg stayed closest in rank, yet technical quality kept this frame ahead.",,,
2,test_samples/KakaoTalk_20260330_180646779_10.jpg,KakaoTalk_20260330_180646779_10.jpg,True,selected,0.607412,0.607412,True,43.0,72.5,72.150002,69.6875,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.607412,0.607412,0.607412,0.0,,,"Technical quality is solid at 0.607 (KoNIQ 43.000, FLIVE image 72.500, patch mean 72.150, patch min 69.688).",,Rank 2 is selected with final score 0.607 using aesthetic weight 0.600 and technical weight 0.400.,The selector held this frame on technical quality; technical consistency created the clearest edge.,"Ranked #2 with a final score of 0.607, staying 0.063 above the cut line. Technical quality was the selector's clearest lever here, and technical consistency created most of the separation. The selector fell back to technical-only evidence (0.607). Compared with KakaoTalk_20260330_180646779_11.jpg, the final score was slightly lower by 0.015, although technical quality was weaker.","Compared with KakaoTalk_20260330_180646779_11.jpg, the final score was slightly lower by 0.015, although technical quality was weaker. Against KakaoTalk_20260330_180646779_07.jpg, the clearest edge was technical quality.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.3067,"[""technical"",""technical quality"",""selector_reasoning""]",The selector held this frame on technical quality; technical consistency created the clearest edge.,"Ranked #2 with a final score of 0.607, staying 0.063 above the cut line. Technical quality was the selector's clearest lever here, and technical consistency created most of the separation. The selector fell back to technical-only evidence (0.607). Compared with KakaoTalk_20260330_180646779_11.jpg, the final score was slightly lower by 0.015, although technical quality was weaker.","Compared with KakaoTalk_20260330_180646779_11.jpg, the final score was slightly lower by 0.015, although technical quality was weaker. Against KakaoTalk_20260330_180646779_07.jpg, the clearest edge was technical quality.",,,
3,test_samples/KakaoTalk_20260330_180646779_07.jpg,KakaoTalk_20260330_180646779_07.jpg,True,selected,0.591933,0.591933,True,39.90625,70.6875,71.862503,70.3125,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.591933,0.591933,0.591933,0.0,,,"Technical quality is solid at 0.592 (KoNIQ 39.906, FLIVE image 70.688, patch mean 71.863, patch min 70.312).",,Rank 3 is selected with final score 0.592 using aesthetic weight 0.600 and technical weight 0.400.,"Selected on technical consistency, with technical quality keeping it ahead of nearby alternatives.","Ranked #3 with a final score of 0.592, staying 0.048 above the cut line. Technical quality was the selector's clearest lever here, and technical quality created most of the separation. The selector fell back to technical-only evidence (0.592). Relative to KakaoTalk_20260330_180646779_12.jpg, the score edge was slightly higher by 0.013, driven mostly by technical quality.","Relative to KakaoTalk_20260330_180646779_12.jpg, the score edge was slightly higher by 0.013, driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_10.jpg stayed close overall.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.2662,"[""technical"",""technical quality"",""selector_reasoning""]","Selected on technical consistency, with technical quality keeping it ahead of nearby alternatives.","Ranked #3 with a final score of 0.592, staying 0.048 above the cut line. Technical quality was the selector's clearest lever here, and technical quality created most of the separation. The selector fell back to technical-only evidence (0.592). Relative to KakaoTalk_20260330_180646779_12.jpg, the score edge was slightly higher by 0.013, driven mostly by technical quality.","Relative to KakaoTalk_20260330_180646779_12.jpg, the score edge was slightly higher by 0.013, driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_10.jpg stayed close overall.",,,
4,test_samples/KakaoTalk_20260330_180646779_12.jpg,KakaoTalk_20260330_180646779_12.jpg,True,selected,0.578625,0.578625,True,36.09375,69.0,72.099998,71.4375,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.578625,0.578625,0.578625,0.0,,,"Technical quality is mixed at 0.579 (KoNIQ 36.094, FLIVE image 69.000, patch mean 72.100, patch min 71.438).",,Rank 4 is selected with final score 0.579 using aesthetic weight 0.600 and technical weight 0.400.,The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #4 with a final score of 0.579, staying 0.034 above the cut line. The technical backbone stayed stronger through technical quality. The selector fell back to technical-only evidence (0.579). KakaoTalk_20260330_180646779.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779.jpg stayed closest in rank, yet technical quality kept this frame ahead. Against KakaoTalk_20260330_180646779_07.jpg, the selector edge was narrow.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.1064,"[""technical"",""technical quality"",""selector_reasoning""]",The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #4 with a final score of 0.579, staying 0.034 above the cut line. The technical backbone stayed stronger through technical quality. The selector fell back to technical-only evidence (0.579). KakaoTalk_20260330_180646779.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779.jpg stayed closest in rank, yet technical quality kept this frame ahead. Against KakaoTalk_20260330_180646779_07.jpg, the selector edge was narrow.",,,
5,test_samples/KakaoTalk_20260330_180646779.jpg,KakaoTalk_20260330_180646779.jpg,True,selected,0.573307,0.573307,True,38.625,66.0625,71.712502,68.9375,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.573307,0.573307,0.573307,0.0,,,"Technical quality is mixed at 0.573 (KoNIQ 38.625, FLIVE image 66.062, patch mean 71.713, patch min 68.938).",,Rank 5 is selected with final score 0.573 using aesthetic weight 0.600 and technical weight 0.400.,The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #5 with a final score of 0.573, staying 0.029 above the cut line. The technical backbone stayed stronger through technical quality. The selector fell back to technical-only evidence (0.573). KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet technical quality kept this frame ahead. The nearby comparison with KakaoTalk_20260330_180646779_12.jpg stayed close overall.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.0353,"[""technical"",""technical quality"",""selector_reasoning""]",The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #5 with a final score of 0.573, staying 0.029 above the cut line. The technical backbone stayed stronger through technical quality. The selector fell back to technical-only evidence (0.573). KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet technical quality kept this frame ahead. The nearby comparison with KakaoTalk_20260330_180646779_12.jpg stayed close overall.",,,
6,test_samples/KakaoTalk_20260330_180646779_06.jpg,KakaoTalk_20260330_180646779_06.jpg,True,selected,0.571542,0.571542,True,37.65625,67.125,71.6875,69.375,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.571542,0.571542,0.571542,0.0,,,"Technical quality is mixed at 0.572 (KoNIQ 37.656, FLIVE image 67.125, patch mean 71.688, patch min 69.375).",,Rank 6 is selected with final score 0.572 using aesthetic weight 0.600 and technical weight 0.400.,This frame stayed above the cut on technical consistency.,"Ranked #6 with a final score of 0.572, staying 0.027 above the cut line. The combined evidence stayed stronger through technical consistency than through any single rescue factor. Compared with KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.002), although technical quality was weaker. The selector fell back to technical-only evidence (0.572).","Compared with KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.002), although technical quality was weaker. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg tilted on technical quality.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.0353,"[""technical"",""technical quality"",""selector_reasoning""]",This frame stayed above the cut on technical consistency.,"Ranked #6 with a final score of 0.572, staying 0.027 above the cut line. The combined evidence stayed stronger through technical consistency than through any single rescue factor. Compared with KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.002), although technical quality was weaker. The selector fell back to technical-only evidence (0.572).","Compared with KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.002), although technical quality was weaker. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg tilted on technical quality.",,,
7,test_samples/KakaoTalk_20260330_180646779_08.jpg,KakaoTalk_20260330_180646779_08.jpg,True,selected,0.553669,0.553669,True,35.375,63.40625,71.037498,69.9375,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.553669,0.553669,0.553669,0.0,,,"Technical quality is mixed at 0.554 (KoNIQ 35.375, FLIVE image 63.406, patch mean 71.037, patch min 69.938).",,Rank 7 is selected with final score 0.554 using aesthetic weight 0.600 and technical weight 0.400.,"The A-cut kept it despite a thin margin, with technical quality just covering for weaker supporting cues.","Ranked #7 with a final score of 0.554, staying 0.010 above the cut line. This was a keepable but fragile pick because the positives were narrow rather than overwhelming. Relative to KakaoTalk_20260330_180646779_02.jpg, the score edge was roughly tied (+0.003), driven mostly by technical quality. The selector fell back to technical-only evidence (0.554).","Relative to KakaoTalk_20260330_180646779_02.jpg, the score edge was roughly tied (+0.003), driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_06.jpg stayed close overall.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.0689,"[""technical"",""technical quality"",""selector_reasoning""]","The A-cut kept it despite a thin margin, with technical quality just covering for weaker supporting cues.","Ranked #7 with a final score of 0.554, staying 0.010 above the cut line. This was a keepable but fragile pick because the positives were narrow rather than overwhelming. Relative to KakaoTalk_20260330_180646779_02.jpg, the score edge was roughly tied (+0.003), driven mostly by technical quality. The selector fell back to technical-only evidence (0.554).","Relative to KakaoTalk_20260330_180646779_02.jpg, the score edge was roughly tied (+0.003), driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_06.jpg stayed close overall.",,,
8,test_samples/KakaoTalk_20260330_180646779_02.jpg,KakaoTalk_20260330_180646779_02.jpg,True,selected,0.550225,0.550225,True,32.0,65.3125,71.650002,69.25,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.550225,0.550225,0.550225,0.0,,,"Technical quality is mixed at 0.550 (KoNIQ 32.000, FLIVE image 65.312, patch mean 71.650, patch min 69.250).",,Rank 8 is selected with final score 0.550 using aesthetic weight 0.600 and technical weight 0.400.,"This frame cleared the cut by a small edge, mostly through technical quality.","Ranked #8 with a final score of 0.550, staying 0.006 above the cut line. The margin was slim, and technical quality only just covered for weaker weaker supporting cues. Relative to KakaoTalk_20260330_180646779_13.jpg, the score edge was roughly tied (+0.001), driven mostly by technical quality. The selector fell back to technical-only evidence (0.550).","Relative to KakaoTalk_20260330_180646779_13.jpg, the score edge was roughly tied (+0.001), driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg stayed close overall.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.013,"[""technical"",""technical quality"",""selector_reasoning""]","This frame cleared the cut by a small edge, mostly through technical quality.","Ranked #8 with a final score of 0.550, staying 0.006 above the cut line. The margin was slim, and technical quality only just covered for weaker weaker supporting cues. Relative to KakaoTalk_20260330_180646779_13.jpg, the score edge was roughly tied (+0.001), driven mostly by technical quality. The selector fell back to technical-only evidence (0.550).","Relative to KakaoTalk_20260330_180646779_13.jpg, the score edge was roughly tied (+0.001), driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg stayed close overall.",,,
9,test_samples/KakaoTalk_20260330_180646779_13.jpg,KakaoTalk_20260330_180646779_13.jpg,True,selected,0.549573,0.549573,True,32.5625,62.9375,72.787498,71.0,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.549573,0.549573,0.549573,0.0,,,"Technical quality is mixed at 0.550 (KoNIQ 32.562, FLIVE image 62.938, patch mean 72.787, patch min 71.000).",,Rank 9 is selected with final score 0.550 using aesthetic weight 0.600 and technical weight 0.400.,It stayed in on a narrow margin because technical consistency barely outweighed technical quality.,"Ranked #9 with a final score of 0.550, staying 0.005 above the cut line. It survived the cut line by holding a small edge on technical consistency while technical quality stayed softer. Compared with KakaoTalk_20260330_180646779_02.jpg, the final score was roughly tied (-0.001), although technical quality was weaker. The selector fell back to technical-only evidence (0.550).","Compared with KakaoTalk_20260330_180646779_02.jpg, the final score was roughly tied (-0.001), although technical quality was weaker. Against KakaoTalk_20260330_180646779_04.jpg, the clearest edge was technical quality.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.013,"[""technical"",""technical quality"",""selector_reasoning""]",It stayed in on a narrow margin because technical consistency barely outweighed technical quality.,"Ranked #9 with a final score of 0.550, staying 0.005 above the cut line. It survived the cut line by holding a small edge on technical consistency while technical quality stayed softer. Compared with KakaoTalk_20260330_180646779_02.jpg, the final score was roughly tied (-0.001), although technical quality was weaker. The selector fell back to technical-only evidence (0.550).","Compared with KakaoTalk_20260330_180646779_02.jpg, the final score was roughly tied (-0.001), although technical quality was weaker. Against KakaoTalk_20260330_180646779_04.jpg, the clearest edge was technical quality.",,,
10,test_samples/KakaoTalk_20260330_180646779_04.jpg,KakaoTalk_20260330_180646779_04.jpg,True,selected,0.548912,0.548912,True,33.96875,63.46875,71.074997,70.25,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.548912,0.548912,0.548912,0.0,,,"Technical quality is mixed at 0.549 (KoNIQ 33.969, FLIVE image 63.469, patch mean 71.075, patch min 70.250).",,Rank 10 is selected with final score 0.549 using aesthetic weight 0.600 and technical weight 0.400.,"The A-cut kept it despite a thin margin, with technical quality just covering for weaker supporting cues.","Ranked #10 with a final score of 0.549, staying 0.005 above the cut line. The margin was slim, and technical quality only just covered for weaker weaker supporting cues. KakaoTalk_20260330_180646779_05.jpg stayed closest in rank, yet technical quality kept this frame ahead. The selector fell back to technical-only evidence (0.549).","KakaoTalk_20260330_180646779_05.jpg stayed closest in rank, yet technical quality kept this frame ahead. The nearby comparison with KakaoTalk_20260330_180646779_13.jpg stayed close overall.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.0949,"[""technical"",""technical quality"",""selector_reasoning""]","The A-cut kept it despite a thin margin, with technical quality just covering for weaker supporting cues.","Ranked #10 with a final score of 0.549, staying 0.005 above the cut line. The margin was slim, and technical quality only just covered for weaker weaker supporting cues. KakaoTalk_20260330_180646779_05.jpg stayed closest in rank, yet technical quality kept this frame ahead. The selector fell back to technical-only evidence (0.549).","KakaoTalk_20260330_180646779_05.jpg stayed closest in rank, yet technical quality kept this frame ahead. The nearby comparison with KakaoTalk_20260330_180646779_13.jpg stayed close overall.",,,
11,test_samples/KakaoTalk_20260330_180646779_05.jpg,KakaoTalk_20260330_180646779_05.jpg,False,rejected,0.544168,0.544168,True,32.1875,63.40625,71.099998,69.6875,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.544168,0.544168,0.544168,0.0,,,"Technical quality is mixed at 0.544 (KoNIQ 32.188, FLIVE image 63.406, patch mean 71.100, patch min 69.688).",,Rank 11 is rejected with final score 0.544 using aesthetic weight 0.600 and technical weight 0.400.,It missed the A-cut because technical quality lagged behind the selected set.,"Ranked #11 with a final score of 0.544, trailing the cut line by 0.005. The comparison deficit stayed concentrated in technical quality, which the higher-ranked set handled better. Against KakaoTalk_20260330_180646779_04.jpg, the final score was roughly tied (-0.005) and the main deficits were technical quality. The selector fell back to technical-only evidence (0.544).","Against KakaoTalk_20260330_180646779_04.jpg, the final score was roughly tied (-0.005) and the main deficits were technical quality. Against KakaoTalk_20260330_180646779_01.jpg, the margin stayed narrow.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.0949,"[""technical"",""technical quality"",""selector_reasoning""]",It missed the A-cut because technical quality lagged behind the selected set.,"Ranked #11 with a final score of 0.544, trailing the cut line by 0.005. The comparison deficit stayed concentrated in technical quality, which the higher-ranked set handled better. Against KakaoTalk_20260330_180646779_04.jpg, the final score was roughly tied (-0.005) and the main deficits were technical quality. The selector fell back to technical-only evidence (0.544).","Against KakaoTalk_20260330_180646779_04.jpg, the final score was roughly tied (-0.005) and the main deficits were technical quality. Against KakaoTalk_20260330_180646779_01.jpg, the margin stayed narrow.",,,
12,test_samples/KakaoTalk_20260330_180646779_01.jpg,KakaoTalk_20260330_180646779_01.jpg,False,rejected,0.540672,0.540672,True,31.5,63.71875,70.412498,69.375,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.540672,0.540672,0.540672,0.0,,,"Technical quality is mixed at 0.541 (KoNIQ 31.500, FLIVE image 63.719, patch mean 70.412, patch min 69.375).",,Rank 12 is rejected with final score 0.541 using aesthetic weight 0.600 and technical weight 0.400.,The frame fell short once technical quality gave higher-ranked images the edge.,"Ranked #12 with a final score of 0.541, trailing the cut line by 0.008. Nearby competitors kept more complete support than this frame on the deciding cues. KakaoTalk_20260330_180646779_05.jpg stayed ahead because technical quality were weaker here. The selector fell back to technical-only evidence (0.541).",KakaoTalk_20260330_180646779_05.jpg stayed ahead because technical quality were weaker here. The nearby comparison with KakaoTalk_20260330_180646779_09.jpg remained close overall.,False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.0699,"[""technical"",""technical quality"",""selector_reasoning""]",The frame fell short once technical quality gave higher-ranked images the edge.,"Ranked #12 with a final score of 0.541, trailing the cut line by 0.008. Nearby competitors kept more complete support than this frame on the deciding cues. KakaoTalk_20260330_180646779_05.jpg stayed ahead because technical quality were weaker here. The selector fell back to technical-only evidence (0.541).",KakaoTalk_20260330_180646779_05.jpg stayed ahead because technical quality were weaker here. The nearby comparison with KakaoTalk_20260330_180646779_09.jpg remained close overall.,,,
13,test_samples/KakaoTalk_20260330_180646779_09.jpg,KakaoTalk_20260330_180646779_09.jpg,False,rejected,0.536273,0.536273,True,31.921875,61.0625,71.025002,70.375,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.536273,0.536273,0.536273,0.0,,,"Technical quality is mixed at 0.536 (KoNIQ 31.922, FLIVE image 61.062, patch mean 71.025, patch min 70.375).",,Rank 13 is rejected with final score 0.536 using aesthetic weight 0.600 and technical weight 0.400.,Rejected because technical consistency could not recover weaker technical quality against nearby options.,"Ranked #13 with a final score of 0.536, trailing the cut line by 0.013. The selector never found enough support beyond technical quality to close the gap. Against KakaoTalk_20260330_180646779_01.jpg, the final score was roughly tied (-0.004) and the main deficits were technical quality. The selector fell back to technical-only evidence (0.536).","Against KakaoTalk_20260330_180646779_01.jpg, the final score was roughly tied (-0.004) and the main deficits were technical quality. Against KakaoTalk_20260330_180646779_14.jpg, the margin stayed narrow.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.088,"[""technical"",""technical quality"",""selector_reasoning""]",Rejected because technical consistency could not recover weaker technical quality against nearby options.,"Ranked #13 with a final score of 0.536, trailing the cut line by 0.013. The selector never found enough support beyond technical quality to close the gap. Against KakaoTalk_20260330_180646779_01.jpg, the final score was roughly tied (-0.004) and the main deficits were technical quality. The selector fell back to technical-only evidence (0.536).","Against KakaoTalk_20260330_180646779_01.jpg, the final score was roughly tied (-0.004) and the main deficits were technical quality. Against KakaoTalk_20260330_180646779_14.jpg, the margin stayed narrow.",,,
14,test_samples/KakaoTalk_20260330_180646779_14.jpg,KakaoTalk_20260330_180646779_14.jpg,False,rejected,0.530235,0.530235,True,31.921875,59.03125,71.012497,70.125,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.530235,0.530235,0.530235,0.0,,,"Technical quality is mixed at 0.530 (KoNIQ 31.922, FLIVE image 59.031, patch mean 71.012, patch min 70.125).",,Rank 14 is rejected with final score 0.530 using aesthetic weight 0.600 and technical weight 0.400.,Rejected because technical consistency could not recover weaker technical quality against nearby options.,"Ranked #14 with a final score of 0.530, trailing the cut line by 0.019. The selector never found enough support beyond technical quality to close the gap. Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (-0.006) and the main deficits were technical quality. The selector fell back to technical-only evidence (0.530).","Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (-0.006) and the main deficits were technical quality. Against KakaoTalk_20260330_180646779_03.jpg, the margin stayed narrow.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.1208,"[""technical"",""technical quality"",""selector_reasoning""]",Rejected because technical consistency could not recover weaker technical quality against nearby options.,"Ranked #14 with a final score of 0.530, trailing the cut line by 0.019. The selector never found enough support beyond technical quality to close the gap. Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (-0.006) and the main deficits were technical quality. The selector fell back to technical-only evidence (0.530).","Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (-0.006) and the main deficits were technical quality. Against KakaoTalk_20260330_180646779_03.jpg, the margin stayed narrow.",,,
15,test_samples/KakaoTalk_20260330_180646779_03.jpg,KakaoTalk_20260330_180646779_03.jpg,False,rejected,0.518959,0.518959,True,29.8125,57.1875,70.800003,70.0,"[""koniq"",""flive_image"",""flive_patch_mean"",""flive_patch_min"",""musiq""]",,False,"[""composition_aadb"",""nima_ava"",""alamp_aadb"",""musiq_aadb"",""rgnet_aadb"",""pairwise_aadb""]",precomputed_scores,0.518959,0.518959,0.518959,0.0,,,"Technical quality is mixed at 0.519 (KoNIQ 29.812, FLIVE image 57.188, patch mean 70.800, patch min 70.000).",,Rank 15 is rejected with final score 0.519 using aesthetic weight 0.600 and technical weight 0.400.,Rejected because technical consistency could not recover weaker technical quality against nearby options.,"Ranked #15 with a final score of 0.519, trailing the cut line by 0.030. The selector never found enough support beyond technical quality to close the gap. Against KakaoTalk_20260330_180646779_14.jpg, the final score was slightly lower by 0.011 and the main deficits were technical quality. The selector fell back to technical-only evidence (0.519).","Against KakaoTalk_20260330_180646779_14.jpg, the final score was slightly lower by 0.011 and the main deficits were technical quality.",False,False,False,multimodal_explanations_disabled,,baseline_acut,generated,0.2255,"[""technical"",""technical quality"",""selector_reasoning""]",Rejected because technical consistency could not recover weaker technical quality against nearby options.,"Ranked #15 with a final score of 0.519, trailing the cut line by 0.030. The selector never found enough support beyond technical quality to close the gap. Against KakaoTalk_20260330_180646779_14.jpg, the final score was slightly lower by 0.011 and the main deficits were technical quality. The selector fell back to technical-only evidence (0.519).","Against KakaoTalk_20260330_180646779_14.jpg, the final score was slightly lower by 0.011 and the main deficits were technical quality.",,,
